condition,variable,value
0,central_beta,0.045744213399996535
0,frontal_beta,0.19370998582933327
0,occipital_beta,0.15397140554668454
0,parietal_beta,0.13820136899714572
0,temporal_beta,0.2252017638516857
1,central_beta,-0.04574421339999265
1,frontal_beta,-0.19370998582933438
1,occipital_beta,-0.1539714055466871
1,parietal_beta,-0.13820136899715132
1,temporal_beta,-0.2252017638516845
