condition,variable,value
0,central_alpha,0.08999285157036509
0,frontal_alpha,0.0031624190962784315
0,occipital_alpha,0.09428459871892939
0,parietal_alpha,0.0609043501167933
0,temporal_alpha,0.04374302517834633
1,central_alpha,-0.08999285157036827
1,frontal_alpha,-0.003162419096278892
1,occipital_alpha,-0.09428459871893496
1,parietal_alpha,-0.06090435011678957
1,temporal_alpha,-0.04374302517834044
